Index,Buy_90,Notrade_135,Notrade_180,Sell_225,SL1,Buy_270,Notrade_315,Notrade_360,Sell_45,SL2
182,132315,132497,132679,132861,132952.0,133043,133225,133408.0,133591.0,133682.5
183,133774,133957,134140,134323,134414.5,134506,134689,134873.0,135057.0,135149.0
184,135241,135425,135609,135793,135885.0,135977,136161,136346.0,136531.0,136623.5
185,136716,136901,137086,137271,137363.5,137456,137641,137827.0,138013.0,138106.0
186,138199,138385,138571,138757,138850.0,138943,139129,139316.0,139503.0,139596.5
187,139690,139877,140064,140251,140344.5,140438,140625,140813.0,141001.0,141095.0
188,141189,141377,141565,141753,141847.0,141941,142129,142318.0,142507.0,142601.5
189,142696,142885,143074,143263,143357.5,143452,143641,143831.0,144021.0,144116.0
190,144211,144401,144591,144781,144876.0,144971,145161,145352.0,145543.0,145638.5
191,145734,145925,146116,146307,146402.5,146498,146689,146881.0,147073.0,147169.0
192,147265,147457,147649,147841,147937.0,148033,148225,148418.0,148611.0,148707.5
193,148804,148997,149190,149383,149479.5,149576,149769,149963.0,150157.0,150254.0
194,150351,150545,150739,150933,151030.0,151127,151321,151516.0,151711.0,151808.5
195,151906,152101,152296,152491,152588.5,152686,152881,153077.0,153273.0,153371.0
196,153469,153665,153861,154057,154155.0,154253,154449,154646.0,154843.0,154941.5
197,155040,155237,155434,155631,155729.5,155828,156025,156223.0,156421.0,156520.0
198,156619,156817,157015,157213,157312.0,157411,157609,157808.0,158007.0,158106.5
199,158206,158405,158604,158803,158902.5,159002,159201,159401.0,159601.0,159701.0
200,159801,160001,160201,160401,160501.0,160601,160801,161002.0,161203.0,161303.5
201,161404,161605,161806,162007,162107.5,162208,162409,162611.0,162813.0,162914.0
202,163015,163217,163419,163621,163722.0,163823,164025,164228.0,164431.0,164532.5
203,164634,164837,165040,165243,165344.5,165446,165649,165853.0,166057.0,166159.0
204,166261,166465,166669,166873,166975.0,167077,167281,167486.0,167691.0,167793.5
205,167896,168101,168306,168511,168613.5,168716,168921,169127.0,169333.0,169436.0
206,169539,169745,169951,170157,170260.0,170363,170569,170776.0,170983.0,171086.5
207,171190,171397,171604,171811,171914.5,172018,172225,172433.0,172641.0,172745.0
208,172849,173057,173265,173473,173577.0,173681,173889,174098.0,174307.0,174411.5
209,174516,174725,174934,175143,175247.5,175352,175561,175771.0,175981.0,176086.0
210,176191,176401,176611,176821,176926.0,177031,177241,177452.0,177663.0,177768.5
211,177874,178085,178296,178507,178612.5,178718,178929,179141.0,179353.0,179459.0
212,179565,179777,179989,180201,180307.0,180413,180625,180838.0,181051.0,181157.5
213,181264,181477,181690,181903,182009.5,182116,182329,182543.0,182757.0,182864.0
214,182971,183185,183399,183613,183720.0,183827,184041,184256.0,184471.0,184578.5
215,184686,184901,185116,185331,185438.5,185546,185761,185977.0,186193.0,186301.0
216,186409,186625,186841,187057,187165.0,187273,187489,187706.0,187923.0,188031.5
217,188140,188357,188574,188791,188899.5,189008,189225,189443.0,189661.0,189770.0
218,189879,190097,190315,190533,190642.0,190751,190969,191188.0,191407.0,191516.5
219,191626,191845,192064,192283,192392.5,192502,192721,192941.0,193161.0,193271.0
220,193381,193601,193821,194041,194151.0,194261,194481,194702.0,194923.0,195033.5
221,195144,195365,195586,195807,195917.5,196028,196249,196471.0,196693.0,196804.0
222,196915,197137,197359,197581,197692.0,197803,198025,198248.0,198471.0,198582.5
223,198694,198917,199140,199363,199474.5,199586,199809,200033.0,200257.0,200369.0
224,200481,200705,200929,201153,201265.0,201377,201601,201826.0,202051.0,202163.5
225,202276,202501,202726,202951,203063.5,203176,203401,203627.0,203853.0,203966.0
226,204079,204305,204531,204757,204870.0,204983,205209,205436.0,205663.0,205776.5
227,205890,206117,206344,206571,206684.5,206798,207025,207253.0,207481.0,207595.0
228,207709,207937,208165,208393,208507.0,208621,208849,209078.0,209307.0,209421.5
229,209536,209765,209994,210223,210337.5,210452,210681,210911.0,211141.0,211256.0
230,211371,211601,211831,212061,212176.0,212291,212521,212752.0,212983.0,213098.5
231,213214,213445,213676,213907,214022.5,214138,214369,214601.0,214833.0,214949.0
232,215065,215297,215529,215761,215877.0,215993,216225,216458.0,216691.0,216807.5
233,216924,217157,217390,217623,217739.5,217856,218089,218323.0,218557.0,218674.0
234,218791,219025,219259,219493,219610.0,219727,219961,220196.0,220431.0,220548.5
235,220666,220901,221136,221371,221488.5,221606,221841,222077.0,222313.0,222431.0
236,222549,222785,223021,223257,223375.0,223493,223729,223966.0,224203.0,224321.5
237,224440,224677,224914,225151,225269.5,225388,225625,225863.0,226101.0,226220.0
238,226339,226577,226815,227053,227172.0,227291,227529,227768.0,228007.0,228126.5
239,228246,228485,228724,228963,229082.5,229202,229441,229681.0,229921.0,230041.0
240,230161,230401,230641,230881,231001.0,231121,231361,231602.0,231843.0,231963.5
241,232084,232325,232566,232807,232927.5,233048,233289,233531.0,233773.0,233894.0
242,234015,234257,234499,234741,234862.0,234983,235225,235468.0,235711.0,235832.5
243,235954,236197,236440,236683,236804.5,236926,237169,237413.0,237657.0,237779.0
244,237901,238145,238389,238633,238755.0,238877,239121,239366.0,239611.0,239733.5
245,239856,240101,240346,240591,240713.5,240836,241081,241327.0,241573.0,241696.0
246,241819,242065,242311,242557,242680.0,242803,243049,243296.0,243543.0,243666.5
247,243790,244037,244284,244531,244654.5,244778,245025,245273.0,245521.0,245645.0
248,245769,246017,246265,246513,246637.0,246761,247009,247258.0,247507.0,247631.5
249,247756,248005,248254,248503,248627.5,248752,249001,249251.0,249501.0,249626.0
250,249751,250001,250251,250501,250626.0,250751,251001,251252.0,251503.0,251628.5
251,251754,252005,252256,252507,252632.5,252758,253009,253261.0,253513.0,253639.0
252,253765,254017,254269,254521,254647.0,254773,255025,255278.0,255531.0,255657.5
253,255784,256037,256290,256543,256669.5,256796,257049,257303.0,257557.0,257684.0
254,257811,258065,258319,258573,258700.0,258827,259081,259336.0,259591.0,259718.5
255,259846,260101,260356,260611,260738.5,260866,261121,261377.0,261633.0,261761.0
256,261889,262145,262401,262657,262785.0,262913,263169,263426.0,263683.0,263811.5
257,263940,264197,264454,264711,264839.5,264968,265225,265483.0,265741.0,265870.0
258,265999,266257,266515,266773,266902.0,267031,267289,267548.0,267807.0,267936.5
259,268066,268325,268584,268843,268972.5,269102,269361,269621.0,269881.0,270011.0
260,270141,270401,270661,270921,271051.0,271181,271441,271702.0,271963.0,272093.5
261,272224,272485,272746,273007,273137.5,273268,273529,273791.0,274053.0,274184.0
262,274315,274577,274839,275101,275232.0,275363,275625,275888.0,276151.0,276282.5
263,276414,276677,276940,277203,277334.5,277466,277729,277993.0,278257.0,278389.0
264,278521,278785,279049,279313,279445.0,279577,279841,280106.0,280371.0,280503.5
265,280636,280901,281166,281431,281563.5,281696,281961,282227.0,282493.0,282626.0
266,282759,283025,283291,283557,283690.0,283823,284089,284356.0,284623.0,284756.5
267,284890,285157,285424,285691,285824.5,285958,286225,286493.0,286761.0,286895.0
268,287029,287297,287565,287833,287967.0,288101,288369,288638.0,288907.0,289041.5
269,289176,289445,289714,289983,290117.5,290252,290521,290791.0,291061.0,291196.0
270,291331,291601,291871,292141,292276.0,292411,292681,292952.0,293223.0,293358.5
271,293494,293765,294036,294307,294442.5,294578,294849,295121.0,295393.0,295529.0
272,295665,295937,296209,296481,296617.0,296753,297025,297298.0,297571.0,297707.5
273,297844,298117,298390,298663,298799.5,298936,299209,299483.0,299757.0,299894.0
274,300031,300305,300579,300853,300990.0,301127,301401,301676.0,301951.0,302088.5
275,302226,302501,302776,303051,303188.5,303326,303601,303877.0,304153.0,304291.0
276,304429,304705,304981,305257,305395.0,305533,305809,306086.0,306363.0,306501.5
277,306640,306917,307194,307471,307609.5,307748,308025,308303.0,308581.0,308720.0
278,308859,309137,309415,309693,309832.0,309971,310249,310528.0,310807.0,310946.5
279,311086,311365,311644,311923,312062.5,312202,312481,312761.0,313041.0,313181.0
280,313321,313601,313881,314161,314301.0,314441,314721,315002.0,315283.0,315423.5
281,315564,315845,316126,316407,316547.5,316688,316969,317251.0,317533.0,317674.0
282,317815,318097,318379,318661,318802.0,318943,319225,319508.0,319791.0,319932.5
283,320074,320357,320640,320923,321064.5,321206,321489,321773.0,322057.0,322199.0
284,322341,322625,322909,323193,323335.0,323477,323761,324046.0,324331.0,324473.5
285,324616,324901,325186,325471,325613.5,325756,326041,326327.0,326613.0,326756.0
286,326899,327185,327471,327757,327900.0,328043,328329,328616.0,328903.0,329046.5
287,329190,329477,329764,330051,330194.5,330338,330625,330913.0,331201.0,331345.0
288,331489,331777,332065,332353,332497.0,332641,332929,333218.0,333507.0,333651.5
289,333796,334085,334374,334663,334807.5,334952,335241,335531.0,335821.0,335966.0
290,336111,336401,336691,336981,337126.0,337271,337561,337852.0,338143.0,338288.5
291,338434,338725,339016,339307,339452.5,339598,339889,340181.0,340473.0,340619.0
292,340765,341057,341349,341641,341787.0,341933,342225,342518.0,342811.0,342957.5
293,343104,343397,343690,343983,344129.5,344276,344569,344863.0,345157.0,345304.0
294,345451,345745,346039,346333,346480.0,346627,346921,347216.0,347511.0,347658.5
295,347806,348101,348396,348691,348838.5,348986,349281,349577.0,349873.0,350021.0
296,350169,350465,350761,351057,351205.0,351353,351649,351946.0,352243.0,352391.5
297,352540,352837,353134,353431,353579.5,353728,354025,354323.0,354621.0,354770.0
298,354919,355217,355515,355813,355962.0,356111,356409,356708.0,357007.0,357156.5
299,357306,357605,357904,358203,358352.5,358502,358801,359101.0,359401.0,359551.0
300,359701,360001,360301,360601,360751.0,360901,361201,361502.0,361803.0,361953.5
301,362104,362405,362706,363007,363157.5,363308,363609,363911.0,364213.0,364364.0
302,364515,364817,365119,365421,365572.0,365723,366025,366328.0,366631.0,366782.5
303,366934,367237,367540,367843,367994.5,368146,368449,368753.0,369057.0,369209.0
304,369361,369665,369969,370273,370425.0,370577,370881,371186.0,371491.0,371643.5
305,371796,372101,372406,372711,372863.5,373016,373321,373627.0,373933.0,374086.0
306,374239,374545,374851,375157,375310.0,375463,375769,376076.0,376383.0,376536.5
307,376690,376997,377304,377611,377764.5,377918,378225,378533.0,378841.0,378995.0
308,379149,379457,379765,380073,380227.0,380381,380689,380998.0,381307.0,381461.5
309,381616,381925,382234,382543,382697.5,382852,383161,383471.0,383781.0,383936.0
310,384091,384401,384711,385021,385176.0,385331,385641,385952.0,386263.0,386418.5
311,386574,386885,387196,387507,387662.5,387818,388129,388441.0,388753.0,388909.0
312,389065,389377,389689,390001,390157.0,390313,390625,390938.0,391251.0,391407.5
313,391564,391877,392190,392503,392659.5,392816,393129,393443.0,393757.0,393914.0
314,394071,394385,394699,395013,395170.0,395327,395641,395956.0,396271.0,396428.5
315,396586,396901,397216,397531,397688.5,397846,398161,398477.0,398793.0,398951.0
316,399109,399425,399741,400057,400215.0,400373,400689,401006.0,401323.0,401481.5
317,401640,401957,402274,402591,402749.5,402908,403225,403543.0,403861.0,404020.0
318,404179,404497,404815,405133,405292.0,405451,405769,406088.0,406407.0,406566.5
