Index,Buy_0,Notrade_45,Notrade_90,Sell_135,SL1,Buy_180,Notrade_225,Notrade_270,Sell_315,SL2
209,174098,174307,174516,174725,174829.5,174934,175143,175352,175561,175666.0
210,175771,175981,176191,176401,176506.0,176611,176821,177031,177241,177346.5
211,177452,177663,177874,178085,178190.5,178296,178507,178718,178929,179035.0
212,179141,179353,179565,179777,179883.0,179989,180201,180413,180625,180731.5
213,180838,181051,181264,181477,181583.5,181690,181903,182116,182329,182436.0
214,182543,182757,182971,183185,183292.0,183399,183613,183827,184041,184148.5
215,184256,184471,184686,184901,185008.5,185116,185331,185546,185761,185869.0
216,185977,186193,186409,186625,186733.0,186841,187057,187273,187489,187597.5
217,187706,187923,188140,188357,188465.5,188574,188791,189008,189225,189334.0
218,189443,189661,189879,190097,190206.0,190315,190533,190751,190969,191078.5
219,191188,191407,191626,191845,191954.5,192064,192283,192502,192721,192831.0
220,192941,193161,193381,193601,193711.0,193821,194041,194261,194481,194591.5
221,194702,194923,195144,195365,195475.5,195586,195807,196028,196249,196360.0
222,196471,196693,196915,197137,197248.0,197359,197581,197803,198025,198136.5
223,198248,198471,198694,198917,199028.5,199140,199363,199586,199809,199921.0
224,200033,200257,200481,200705,200817.0,200929,201153,201377,201601,201713.5
225,201826,202051,202276,202501,202613.5,202726,202951,203176,203401,203514.0
226,203627,203853,204079,204305,204418.0,204531,204757,204983,205209,205322.5
227,205436,205663,205890,206117,206230.5,206344,206571,206798,207025,207139.0
228,207253,207481,207709,207937,208051.0,208165,208393,208621,208849,208963.5
229,209078,209307,209536,209765,209879.5,209994,210223,210452,210681,210796.0
230,210911,211141,211371,211601,211716.0,211831,212061,212291,212521,212636.5
231,212752,212983,213214,213445,213560.5,213676,213907,214138,214369,214485.0
232,214601,214833,215065,215297,215413.0,215529,215761,215993,216225,216341.5
233,216458,216691,216924,217157,217273.5,217390,217623,217856,218089,218206.0
234,218323,218557,218791,219025,219142.0,219259,219493,219727,219961,220078.5
235,220196,220431,220666,220901,221018.5,221136,221371,221606,221841,221959.0
236,222077,222313,222549,222785,222903.0,223021,223257,223493,223729,223847.5
237,223966,224203,224440,224677,224795.5,224914,225151,225388,225625,225744.0
238,225863,226101,226339,226577,226696.0,226815,227053,227291,227529,227648.5
239,227768,228007,228246,228485,228604.5,228724,228963,229202,229441,229561.0
240,229681,229921,230161,230401,230521.0,230641,230881,231121,231361,231481.5
241,231602,231843,232084,232325,232445.5,232566,232807,233048,233289,233410.0
242,233531,233773,234015,234257,234378.0,234499,234741,234983,235225,235346.5
243,235468,235711,235954,236197,236318.5,236440,236683,236926,237169,237291.0
244,237413,237657,237901,238145,238267.0,238389,238633,238877,239121,239243.5
245,239366,239611,239856,240101,240223.5,240346,240591,240836,241081,241204.0
246,241327,241573,241819,242065,242188.0,242311,242557,242803,243049,243172.5
247,243296,243543,243790,244037,244160.5,244284,244531,244778,245025,245149.0
248,245273,245521,245769,246017,246141.0,246265,246513,246761,247009,247133.5
249,247258,247507,247756,248005,248129.5,248254,248503,248752,249001,249126.0
250,249251,249501,249751,250001,250126.0,250251,250501,250751,251001,251126.5
251,251252,251503,251754,252005,252130.5,252256,252507,252758,253009,253135.0
252,253261,253513,253765,254017,254143.0,254269,254521,254773,255025,255151.5
253,255278,255531,255784,256037,256163.5,256290,256543,256796,257049,257176.0
254,257303,257557,257811,258065,258192.0,258319,258573,258827,259081,259208.5
255,259336,259591,259846,260101,260228.5,260356,260611,260866,261121,261249.0
256,261377,261633,261889,262145,262273.0,262401,262657,262913,263169,263297.5
257,263426,263683,263940,264197,264325.5,264454,264711,264968,265225,265354.0
258,265483,265741,265999,266257,266386.0,266515,266773,267031,267289,267418.5
259,267548,267807,268066,268325,268454.5,268584,268843,269102,269361,269491.0
260,269621,269881,270141,270401,270531.0,270661,270921,271181,271441,271571.5
261,271702,271963,272224,272485,272615.5,272746,273007,273268,273529,273660.0
262,273791,274053,274315,274577,274708.0,274839,275101,275363,275625,275756.5
263,275888,276151,276414,276677,276808.5,276940,277203,277466,277729,277861.0
264,277993,278257,278521,278785,278917.0,279049,279313,279577,279841,279973.5
265,280106,280371,280636,280901,281033.5,281166,281431,281696,281961,282094.0
266,282227,282493,282759,283025,283158.0,283291,283557,283823,284089,284222.5
267,284356,284623,284890,285157,285290.5,285424,285691,285958,286225,286359.0
268,286493,286761,287029,287297,287431.0,287565,287833,288101,288369,288503.5
269,288638,288907,289176,289445,289579.5,289714,289983,290252,290521,290656.0
270,290791,291061,291331,291601,291736.0,291871,292141,292411,292681,292816.5
271,292952,293223,293494,293765,293900.5,294036,294307,294578,294849,294985.0
272,295121,295393,295665,295937,296073.0,296209,296481,296753,297025,297161.5
273,297298,297571,297844,298117,298253.5,298390,298663,298936,299209,299346.0
274,299483,299757,300031,300305,300442.0,300579,300853,301127,301401,301538.5
275,301676,301951,302226,302501,302638.5,302776,303051,303326,303601,303739.0
276,303877,304153,304429,304705,304843.0,304981,305257,305533,305809,305947.5
277,306086,306363,306640,306917,307055.5,307194,307471,307748,308025,308164.0
278,308303,308581,308859,309137,309276.0,309415,309693,309971,310249,310388.5
279,310528,310807,311086,311365,311504.5,311644,311923,312202,312481,312621.0
