Index,Buy_315,Notrade_0,Notrade_45,Sell_90,SL1,Buy_135,Notrade_180,Notrade_225,Sell_270,SL2
251,251001.0,251252,251503,251754,251879.5,252005,252256,252507,252758,252883.5
252,253009.0,253261,253513,253765,253891.0,254017,254269,254521,254773,254899.0
253,255025.0,255278,255531,255784,255910.5,256037,256290,256543,256796,256922.5
254,257049.0,257303,257557,257811,257938.0,258065,258319,258573,258827,258954.0
255,259081.0,259336,259591,259846,259973.5,260101,260356,260611,260866,260993.5
256,261121.0,261377,261633,261889,262017.0,262145,262401,262657,262913,263041.0
257,263169.0,263426,263683,263940,264068.5,264197,264454,264711,264968,265096.5
258,265225.0,265483,265741,265999,266128.0,266257,266515,266773,267031,267160.0
259,267289.0,267548,267807,268066,268195.5,268325,268584,268843,269102,269231.5
260,269361.0,269621,269881,270141,270271.0,270401,270661,270921,271181,271311.0
261,271441.0,271702,271963,272224,272354.5,272485,272746,273007,273268,273398.5
262,273529.0,273791,274053,274315,274446.0,274577,274839,275101,275363,275494.0
263,275625.0,275888,276151,276414,276545.5,276677,276940,277203,277466,277597.5
264,277729.0,277993,278257,278521,278653.0,278785,279049,279313,279577,279709.0
265,279841.0,280106,280371,280636,280768.5,280901,281166,281431,281696,281828.5
266,281961.0,282227,282493,282759,282892.0,283025,283291,283557,283823,283956.0
267,284089.0,284356,284623,284890,285023.5,285157,285424,285691,285958,286091.5
268,286225.0,286493,286761,287029,287163.0,287297,287565,287833,288101,288235.0
269,288369.0,288638,288907,289176,289310.5,289445,289714,289983,290252,290386.5
270,290521.0,290791,291061,291331,291466.0,291601,291871,292141,292411,292546.0
271,292681.0,292952,293223,293494,293629.5,293765,294036,294307,294578,294713.5
272,294849.0,295121,295393,295665,295801.0,295937,296209,296481,296753,296889.0
273,297025.0,297298,297571,297844,297980.5,298117,298390,298663,298936,299072.5
274,299209.0,299483,299757,300031,300168.0,300305,300579,300853,301127,301264.0
275,301401.0,301676,301951,302226,302363.5,302501,302776,303051,303326,303463.5
276,303601.0,303877,304153,304429,304567.0,304705,304981,305257,305533,305671.0
277,305809.0,306086,306363,306640,306778.5,306917,307194,307471,307748,307886.5
278,308025.0,308303,308581,308859,308998.0,309137,309415,309693,309971,310110.0
279,310249.0,310528,310807,311086,311225.5,311365,311644,311923,312202,312341.5
280,312481.0,312761,313041,313321,313461.0,313601,313881,314161,314441,314581.0
281,314721.0,315002,315283,315564,315704.5,315845,316126,316407,316688,316828.5
282,316969.0,317251,317533,317815,317956.0,318097,318379,318661,318943,319084.0
283,319225.0,319508,319791,320074,320215.5,320357,320640,320923,321206,321347.5
284,321489.0,321773,322057,322341,322483.0,322625,322909,323193,323477,323619.0
285,323761.0,324046,324331,324616,324758.5,324901,325186,325471,325756,325898.5
286,326041.0,326327,326613,326899,327042.0,327185,327471,327757,328043,328186.0
287,328329.0,328616,328903,329190,329333.5,329477,329764,330051,330338,330481.5
288,330625.0,330913,331201,331489,331633.0,331777,332065,332353,332641,332785.0
289,332929.0,333218,333507,333796,333940.5,334085,334374,334663,334952,335096.5
290,335241.0,335531,335821,336111,336256.0,336401,336691,336981,337271,337416.0
291,337561.0,337852,338143,338434,338579.5,338725,339016,339307,339598,339743.5
292,339889.0,340181,340473,340765,340911.0,341057,341349,341641,341933,342079.0
293,342225.0,342518,342811,343104,343250.5,343397,343690,343983,344276,344422.5
294,344569.0,344863,345157,345451,345598.0,345745,346039,346333,346627,346774.0
295,346921.0,347216,347511,347806,347953.5,348101,348396,348691,348986,349133.5
296,349281.0,349577,349873,350169,350317.0,350465,350761,351057,351353,351501.0
297,351649.0,351946,352243,352540,352688.5,352837,353134,353431,353728,353876.5
298,354025.0,354323,354621,354919,355068.0,355217,355515,355813,356111,356260.0
299,356409.0,356708,357007,357306,357455.5,357605,357904,358203,358502,358651.5
300,358801.0,359101,359401,359701,359851.0,360001,360301,360601,360901,361051.0
301,361201.0,361502,361803,362104,362254.5,362405,362706,363007,363308,363458.5
302,363609.0,363911,364213,364515,364666.0,364817,365119,365421,365723,365874.0
303,366025.0,366328,366631,366934,367085.5,367237,367540,367843,368146,368297.5
304,368449.0,368753,369057,369361,369513.0,369665,369969,370273,370577,370729.0
305,370881.0,371186,371491,371796,371948.5,372101,372406,372711,373016,373168.5
306,373321.0,373627,373933,374239,374392.0,374545,374851,375157,375463,375616.0
307,375769.0,376076,376383,376690,376843.5,376997,377304,377611,377918,378071.5
308,378225.0,378533,378841,379149,379303.0,379457,379765,380073,380381,380535.0
309,380689.0,380998,381307,381616,381770.5,381925,382234,382543,382852,383006.5
310,383161.0,383471,383781,384091,384246.0,384401,384711,385021,385331,385486.0
311,385641.0,385952,386263,386574,386729.5,386885,387196,387507,387818,387973.5
312,388129.0,388441,388753,389065,389221.0,389377,389689,390001,390313,390469.0
313,390625.0,390938,391251,391564,391720.5,391877,392190,392503,392816,392972.5
314,393129.0,393443,393757,394071,394228.0,394385,394699,395013,395327,395484.0
315,395641.0,395956,396271,396586,396743.5,396901,397216,397531,397846,398003.5
316,398161.0,398477,398793,399109,399267.0,399425,399741,400057,400373,400531.0
317,400689.0,401006,401323,401640,401798.5,401957,402274,402591,402908,403066.5
318,403225.0,403543,403861,404179,404338.0,404497,404815,405133,405451,405610.0
319,405769.0,406088,406407,406726,406885.5,407045,407364,407683,408002,408161.5
320,408321.0,408641,408961,409281,409441.0,409601,409921,410241,410561,410721.0
321,410881.0,411202,411523,411844,412004.5,412165,412486,412807,413128,413288.5
322,413449.0,413771,414093,414415,414576.0,414737,415059,415381,415703,415864.0
323,416025.0,416348,416671,416994,417155.5,417317,417640,417963,418286,418447.5
324,418609.0,418933,419257,419581,419743.0,419905,420229,420553,420877,421039.0
325,421201.0,421526,421851,422176,422338.5,422501,422826,423151,423476,423638.5
326,423801.0,424127,424453,424779,424942.0,425105,425431,425757,426083,426246.0
327,426409.0,426736,427063,427390,427553.5,427717,428044,428371,428698,428861.5
328,429025.0,429353,429681,430009,430173.0,430337,430665,430993,431321,431485.0
329,431649.0,431978,432307,432636,432800.5,432965,433294,433623,433952,434116.5
330,434281.0,434611,434941,435271,435436.0,435601,435931,436261,436591,436756.0
331,436921.0,437252,437583,437914,438079.5,438245,438576,438907,439238,439403.5
332,439569.0,439901,440233,440565,440731.0,440897,441229,441561,441893,442059.0
333,442225.0,442558,442891,443224,443390.5,443557,443890,444223,444556,444722.5
334,444889.0,445223,445557,445891,446058.0,446225,446559,446893,447227,447394.0
335,447561.0,447896,448231,448566,448733.5,448901,449236,449571,449906,450073.5
336,450241.0,450577,450913,451249,451417.0,451585,451921,452257,452593,452761.0
337,452929.0,453266,453603,453940,454108.5,454277,454614,454951,455288,455456.5
338,455625.0,455963,456301,456639,456808.0,456977,457315,457653,457991,458160.0
339,458329.0,458668,459007,459346,459515.5,459685,460024,460363,460702,460871.5
340,461041.0,461381,461721,462061,462231.0,462401,462741,463081,463421,463591.0
341,463761.0,464102,464443,464784,464954.5,465125,465466,465807,466148,466318.5
342,466489.0,466831,467173,467515,467686.0,467857,468199,468541,468883,469054.0
343,469225.0,469568,469911,470254,470425.5,470597,470940,471283,471626,471797.5
344,471969.0,472313,472657,473001,473173.0,473345,473689,474033,474377,474549.0
345,474721.0,475066,475411,475756,475928.5,476101,476446,476791,477136,477308.5
346,477481.0,477827,478173,478519,478692.0,478865,479211,479557,479903,480076.0
347,480249.0,480596,480943,481290,481463.5,481637,481984,482331,482678,482851.5
348,483025.0,483373,483721,484069,484243.0,484417,484765,485113,485461,485635.0
349,485809.0,486158,486507,486856,487030.5,487205,487554,487903,488252,488426.5
350,488601.0,488951,489301,489651,489826.0,490001,490351,490701,491051,491226.0
351,491401.0,491752,492103,492454,492629.5,492805,493156,493507,493858,494033.5
352,494209.0,494561,494913,495265,495441.0,495617,495969,496321,496673,496849.0
353,497025.0,497378,497731,498084,498260.5,498437,498790,499143,499496,499672.5
354,499849.0,500203,500557,500911,501088.0,501265,501619,501973,502327,502504.0
355,502681.0,503036,503391,503746,503923.5,504101,504456,504811,505166,505343.5
356,505521.0,505877,506233,506589,506767.0,506945,507301,507657,508013,508191.0
357,508369.0,508726,509083,509440,509618.5,509797,510154,510511,510868,511046.5
358,511225.0,511583,511941,512299,512478.0,512657,513015,513373,513731,513910.0
359,514089.0,514448,514807,515166,515345.5,515525,515884,516243,516602,516781.5
360,516961.0,517321,517681,518041,518221.0,518401,518761,519121,519481,519661.0
361,519841.0,520202,520563,520924,521104.5,521285,521646,522007,522368,522548.5
362,522729.0,523091,523453,523815,523996.0,524177,524539,524901,525263,525444.0
363,525625.0,525988,526351,526714,526895.5,527077,527440,527803,528166,528347.5
364,528529.0,528893,529257,529621,529803.0,529985,530349,530713,531077,531259.0
365,531441.0,531806,532171,532536,532718.5,532901,533266,533631,533996,534178.5
