Index,Buy_45,Notrade_90,Notrade_135,Sell_180,SL1,Buy_225,Notrade_270,Notrade_315,Sell_360,SL2
206,169333,169539,169745,169951,170054.0,170157,170363,170569,170776.0,170879.5
207,170983,171190,171397,171604,171707.5,171811,172018,172225,172433.0,172537.0
208,172641,172849,173057,173265,173369.0,173473,173681,173889,174098.0,174202.5
209,174307,174516,174725,174934,175038.5,175143,175352,175561,175771.0,175876.0
210,175981,176191,176401,176611,176716.0,176821,177031,177241,177452.0,177557.5
211,177663,177874,178085,178296,178401.5,178507,178718,178929,179141.0,179247.0
212,179353,179565,179777,179989,180095.0,180201,180413,180625,180838.0,180944.5
213,181051,181264,181477,181690,181796.5,181903,182116,182329,182543.0,182650.0
214,182757,182971,183185,183399,183506.0,183613,183827,184041,184256.0,184363.5
215,184471,184686,184901,185116,185223.5,185331,185546,185761,185977.0,186085.0
216,186193,186409,186625,186841,186949.0,187057,187273,187489,187706.0,187814.5
217,187923,188140,188357,188574,188682.5,188791,189008,189225,189443.0,189552.0
218,189661,189879,190097,190315,190424.0,190533,190751,190969,191188.0,191297.5
219,191407,191626,191845,192064,192173.5,192283,192502,192721,192941.0,193051.0
220,193161,193381,193601,193821,193931.0,194041,194261,194481,194702.0,194812.5
221,194923,195144,195365,195586,195696.5,195807,196028,196249,196471.0,196582.0
222,196693,196915,197137,197359,197470.0,197581,197803,198025,198248.0,198359.5
223,198471,198694,198917,199140,199251.5,199363,199586,199809,200033.0,200145.0
224,200257,200481,200705,200929,201041.0,201153,201377,201601,201826.0,201938.5
225,202051,202276,202501,202726,202838.5,202951,203176,203401,203627.0,203740.0
226,203853,204079,204305,204531,204644.0,204757,204983,205209,205436.0,205549.5
227,205663,205890,206117,206344,206457.5,206571,206798,207025,207253.0,207367.0
228,207481,207709,207937,208165,208279.0,208393,208621,208849,209078.0,209192.5
229,209307,209536,209765,209994,210108.5,210223,210452,210681,210911.0,211026.0
230,211141,211371,211601,211831,211946.0,212061,212291,212521,212752.0,212867.5
231,212983,213214,213445,213676,213791.5,213907,214138,214369,214601.0,214717.0
232,214833,215065,215297,215529,215645.0,215761,215993,216225,216458.0,216574.5
233,216691,216924,217157,217390,217506.5,217623,217856,218089,218323.0,218440.0
234,218557,218791,219025,219259,219376.0,219493,219727,219961,220196.0,220313.5
235,220431,220666,220901,221136,221253.5,221371,221606,221841,222077.0,222195.0
236,222313,222549,222785,223021,223139.0,223257,223493,223729,223966.0,224084.5
237,224203,224440,224677,224914,225032.5,225151,225388,225625,225863.0,225982.0
238,226101,226339,226577,226815,226934.0,227053,227291,227529,227768.0,227887.5
239,228007,228246,228485,228724,228843.5,228963,229202,229441,229681.0,229801.0
240,229921,230161,230401,230641,230761.0,230881,231121,231361,231602.0,231722.5
241,231843,232084,232325,232566,232686.5,232807,233048,233289,233531.0,233652.0
242,233773,234015,234257,234499,234620.0,234741,234983,235225,235468.0,235589.5
243,235711,235954,236197,236440,236561.5,236683,236926,237169,237413.0,237535.0
244,237657,237901,238145,238389,238511.0,238633,238877,239121,239366.0,239488.5
245,239611,239856,240101,240346,240468.5,240591,240836,241081,241327.0,241450.0
246,241573,241819,242065,242311,242434.0,242557,242803,243049,243296.0,243419.5
247,243543,243790,244037,244284,244407.5,244531,244778,245025,245273.0,245397.0
248,245521,245769,246017,246265,246389.0,246513,246761,247009,247258.0,247382.5
249,247507,247756,248005,248254,248378.5,248503,248752,249001,249251.0,249376.0
250,249501,249751,250001,250251,250376.0,250501,250751,251001,251252.0,251377.5
251,251503,251754,252005,252256,252381.5,252507,252758,253009,253261.0,253387.0
252,253513,253765,254017,254269,254395.0,254521,254773,255025,255278.0,255404.5
253,255531,255784,256037,256290,256416.5,256543,256796,257049,257303.0,257430.0
254,257557,257811,258065,258319,258446.0,258573,258827,259081,259336.0,259463.5
255,259591,259846,260101,260356,260483.5,260611,260866,261121,261377.0,261505.0
256,261633,261889,262145,262401,262529.0,262657,262913,263169,263426.0,263554.5
257,263683,263940,264197,264454,264582.5,264711,264968,265225,265483.0,265612.0
258,265741,265999,266257,266515,266644.0,266773,267031,267289,267548.0,267677.5
259,267807,268066,268325,268584,268713.5,268843,269102,269361,269621.0,269751.0
260,269881,270141,270401,270661,270791.0,270921,271181,271441,271702.0,271832.5
261,271963,272224,272485,272746,272876.5,273007,273268,273529,273791.0,273922.0
262,274053,274315,274577,274839,274970.0,275101,275363,275625,275888.0,276019.5
263,276151,276414,276677,276940,277071.5,277203,277466,277729,277993.0,278125.0
264,278257,278521,278785,279049,279181.0,279313,279577,279841,280106.0,280238.5
265,280371,280636,280901,281166,281298.5,281431,281696,281961,282227.0,282360.0
266,282493,282759,283025,283291,283424.0,283557,283823,284089,284356.0,284489.5
267,284623,284890,285157,285424,285557.5,285691,285958,286225,286493.0,286627.0
268,286761,287029,287297,287565,287699.0,287833,288101,288369,288638.0,288772.5
269,288907,289176,289445,289714,289848.5,289983,290252,290521,290791.0,290926.0
270,291061,291331,291601,291871,292006.0,292141,292411,292681,292952.0,293087.5
271,293223,293494,293765,294036,294171.5,294307,294578,294849,295121.0,295257.0
272,295393,295665,295937,296209,296345.0,296481,296753,297025,297298.0,297434.5
273,297571,297844,298117,298390,298526.5,298663,298936,299209,299483.0,299620.0
274,299757,300031,300305,300579,300716.0,300853,301127,301401,301676.0,301813.5
275,301951,302226,302501,302776,302913.5,303051,303326,303601,303877.0,304015.0
276,304153,304429,304705,304981,305119.0,305257,305533,305809,306086.0,306224.5
277,306363,306640,306917,307194,307332.5,307471,307748,308025,308303.0,308442.0
278,308581,308859,309137,309415,309554.0,309693,309971,310249,310528.0,310667.5
279,310807,311086,311365,311644,311783.5,311923,312202,312481,312761.0,312901.0
280,313041,313321,313601,313881,314021.0,314161,314441,314721,315002.0,315142.5
281,315283,315564,315845,316126,316266.5,316407,316688,316969,317251.0,317392.0
282,317533,317815,318097,318379,318520.0,318661,318943,319225,319508.0,319649.5
283,319791,320074,320357,320640,320781.5,320923,321206,321489,321773.0,321915.0
284,322057,322341,322625,322909,323051.0,323193,323477,323761,324046.0,324188.5
285,324331,324616,324901,325186,325328.5,325471,325756,326041,326327.0,326470.0
286,326613,326899,327185,327471,327614.0,327757,328043,328329,328616.0,328759.5
287,328903,329190,329477,329764,329907.5,330051,330338,330625,330913.0,331057.0
288,331201,331489,331777,332065,332209.0,332353,332641,332929,333218.0,333362.5
289,333507,333796,334085,334374,334518.5,334663,334952,335241,335531.0,335676.0
290,335821,336111,336401,336691,336836.0,336981,337271,337561,337852.0,337997.5
291,338143,338434,338725,339016,339161.5,339307,339598,339889,340181.0,340327.0
292,340473,340765,341057,341349,341495.0,341641,341933,342225,342518.0,342664.5
293,342811,343104,343397,343690,343836.5,343983,344276,344569,344863.0,345010.0
294,345157,345451,345745,346039,346186.0,346333,346627,346921,347216.0,347363.5
295,347511,347806,348101,348396,348543.5,348691,348986,349281,349577.0,349725.0
296,349873,350169,350465,350761,350909.0,351057,351353,351649,351946.0,352094.5
297,352243,352540,352837,353134,353282.5,353431,353728,354025,354323.0,354472.0
298,354621,354919,355217,355515,355664.0,355813,356111,356409,356708.0,356857.5
299,357007,357306,357605,357904,358053.5,358203,358502,358801,359101.0,359251.0
300,359401,359701,360001,360301,360451.0,360601,360901,361201,361502.0,361652.5
301,361803,362104,362405,362706,362856.5,363007,363308,363609,363911.0,364062.0
302,364213,364515,364817,365119,365270.0,365421,365723,366025,366328.0,366479.5
303,366631,366934,367237,367540,367691.5,367843,368146,368449,368753.0,368905.0
304,369057,369361,369665,369969,370121.0,370273,370577,370881,371186.0,371338.5
305,371491,371796,372101,372406,372558.5,372711,373016,373321,373627.0,373780.0
306,373933,374239,374545,374851,375004.0,375157,375463,375769,376076.0,376229.5
307,376383,376690,376997,377304,377457.5,377611,377918,378225,378533.0,378687.0
308,378841,379149,379457,379765,379919.0,380073,380381,380689,380998.0,381152.5
309,381307,381616,381925,382234,382388.5,382543,382852,383161,383471.0,383626.0
310,383781,384091,384401,384711,384866.0,385021,385331,385641,385952.0,386107.5
311,386263,386574,386885,387196,387351.5,387507,387818,388129,388441.0,388597.0
312,388753,389065,389377,389689,389845.0,390001,390313,390625,390938.0,391094.5
313,391251,391564,391877,392190,392346.5,392503,392816,393129,393443.0,393600.0
314,393757,394071,394385,394699,394856.0,395013,395327,395641,395956.0,396113.5
315,396271,396586,396901,397216,397373.5,397531,397846,398161,398477.0,398635.0
316,398793,399109,399425,399741,399899.0,400057,400373,400689,401006.0,401164.5
317,401323,401640,401957,402274,402432.5,402591,402908,403225,403543.0,403702.0
318,403861,404179,404497,404815,404974.0,405133,405451,405769,406088.0,406247.5
319,406407,406726,407045,407364,407523.5,407683,408002,408321,408641.0,408801.0
320,408961,409281,409601,409921,410081.0,410241,410561,410881,411202.0,411362.5
321,411523,411844,412165,412486,412646.5,412807,413128,413449,413771.0,413932.0
322,414093,414415,414737,415059,415220.0,415381,415703,416025,416348.0,416509.5
323,416671,416994,417317,417640,417801.5,417963,418286,418609,418933.0,419095.0
324,419257,419581,419905,420229,420391.0,420553,420877,421201,421526.0,421688.5
325,421851,422176,422501,422826,422988.5,423151,423476,423801,424127.0,424290.0
326,424453,424779,425105,425431,425594.0,425757,426083,426409,426736.0,426899.5
327,427063,427390,427717,428044,428207.5,428371,428698,429025,429353.0,429517.0
328,429681,430009,430337,430665,430829.0,430993,431321,431649,431978.0,432142.5
329,432307,432636,432965,433294,433458.5,433623,433952,434281,434611.0,434776.0
330,434941,435271,435601,435931,436096.0,436261,436591,436921,437252.0,437417.5
331,437583,437914,438245,438576,438741.5,438907,439238,439569,439901.0,440067.0
332,440233,440565,440897,441229,441395.0,441561,441893,442225,442558.0,442724.5
333,442891,443224,443557,443890,444056.5,444223,444556,444889,445223.0,445390.0
334,445557,445891,446225,446559,446726.0,446893,447227,447561,447896.0,448063.5
335,448231,448566,448901,449236,449403.5,449571,449906,450241,450577.0,450745.0
336,450913,451249,451585,451921,452089.0,452257,452593,452929,453266.0,453434.5
337,453603,453940,454277,454614,454782.5,454951,455288,455625,455963.0,456132.0
338,456301,456639,456977,457315,457484.0,457653,457991,458329,458668.0,458837.5
339,459007,459346,459685,460024,460193.5,460363,460702,461041,461381.0,461551.0
340,461721,462061,462401,462741,462911.0,463081,463421,463761,464102.0,464272.5
341,464443,464784,465125,465466,465636.5,465807,466148,466489,466831.0,467002.0
342,467173,467515,467857,468199,468370.0,468541,468883,469225,469568.0,469739.5
343,469911,470254,470597,470940,471111.5,471283,471626,471969,472313.0,472485.0
344,472657,473001,473345,473689,473861.0,474033,474377,474721,475066.0,475238.5
345,475411,475756,476101,476446,476618.5,476791,477136,477481,477827.0,478000.0
346,478173,478519,478865,479211,479384.0,479557,479903,480249,480596.0,480769.5
347,480943,481290,481637,481984,482157.5,482331,482678,483025,483373.0,483547.0
348,483721,484069,484417,484765,484939.0,485113,485461,485809,486158.0,486332.5
349,486507,486856,487205,487554,487728.5,487903,488252,488601,488951.0,489126.0
350,489301,489651,490001,490351,490526.0,490701,491051,491401,491752.0,491927.5
351,492103,492454,492805,493156,493331.5,493507,493858,494209,494561.0,494737.0
352,494913,495265,495617,495969,496145.0,496321,496673,497025,497378.0,497554.5
353,497731,498084,498437,498790,498966.5,499143,499496,499849,500203.0,500380.0
354,500557,500911,501265,501619,501796.0,501973,502327,502681,503036.0,503213.5
355,503391,503746,504101,504456,504633.5,504811,505166,505521,505877.0,506055.0
356,506233,506589,506945,507301,507479.0,507657,508013,508369,508726.0,508904.5
357,509083,509440,509797,510154,510332.5,510511,510868,511225,511583.0,511762.0
358,511941,512299,512657,513015,513194.0,513373,513731,514089,514448.0,514627.5
359,514807,515166,515525,515884,516063.5,516243,516602,516961,517321.0,517501.0
360,517681,518041,518401,518761,518941.0,519121,519481,519841,520202.0,520382.5
361,520563,520924,521285,521646,521826.5,522007,522368,522729,523091.0,523272.0
362,523453,523815,524177,524539,524720.0,524901,525263,525625,525988.0,526169.5
363,526351,526714,527077,527440,527621.5,527803,528166,528529,528893.0,529075.0
364,529257,529621,529985,530349,530531.0,530713,531077,531441,531806.0,531988.5
365,532171,532536,532901,533266,533448.5,533631,533996,534361,534727.0,534910.0
